"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19888","C56916:","chromium","Tue Nov 12 12:27:11 IST 2024","passed","Tue Nov 12 12:27:31 IST 2024","","schedule.spec.js","",""
"","12320","C56916","chromium","Tue Nov 12 11:37:37 IST 2024","failed","Tue Nov 12 11:37:50 IST 2024","","schedule.spec.js","",""
"","5668","has title","chromium","Tue Nov 12 11:18:30 IST 2024","passed","Tue Nov 12 11:18:35 IST 2024","","example.spec.js","",""
"","8260","has title","firefox","Tue Nov 12 09:58:49 IST 2024","passed","Tue Nov 12 09:58:57 IST 2024","","example.spec.js","",""
"","25647","C56916: a:Launch Schedule page and check the functionality","chromium","Mon Nov 18 10:51:58 IST 2024","passed","Mon Nov 18 10:52:23 IST 2024","","schedule.spec.js","",""
"","11292","get started link","firefox","Tue Nov 12 09:58:49 IST 2024","passed","Tue Nov 12 09:59:00 IST 2024","","example.spec.js","",""
"","30446","Check all filter options","chromium","Tue Nov 12 18:45:47 IST 2024","broken","Tue Nov 12 18:46:18 IST 2024","","schedule.spec.js","",""
"","16610","C56916:Launch Schedule page","chromium","Tue Nov 12 15:14:34 IST 2024","passed","Tue Nov 12 15:14:51 IST 2024","","schedule.spec.js","",""
"","24410","C56916: a:Launch Schedule page and check the functionality","Mobile Chrome","Mon Nov 18 10:51:58 IST 2024","passed","Mon Nov 18 10:52:22 IST 2024","","schedule.spec.js","",""
"","5417","get started link","chromium","Tue Nov 12 11:18:30 IST 2024","passed","Tue Nov 12 11:18:35 IST 2024","","example.spec.js","",""
"","30449","Check all sort options","chromium","Tue Nov 12 16:19:13 IST 2024","broken","Tue Nov 12 16:19:43 IST 2024","","schedule.spec.js","",""
"","30878","C56916: a:Launch Schedule page and check the functionality","Mobile Safari","Mon Nov 18 10:40:27 IST 2024","broken","Mon Nov 18 10:40:58 IST 2024","","schedule.spec.js","",""
"","27176","C56916: a:Launch Schedule page and check team schedule table","chromium","Tue Nov 12 21:45:17 IST 2024","failed","Tue Nov 12 21:45:44 IST 2024","","schedule.spec.js","",""
"","5582","has title","webkit","Tue Nov 12 09:59:00 IST 2024","passed","Tue Nov 12 09:59:06 IST 2024","","example.spec.js","",""
"","7438","get started link","webkit","Tue Nov 12 09:59:01 IST 2024","passed","Tue Nov 12 09:59:09 IST 2024","","example.spec.js","",""
"","14565","C56916: b:Check the filter option fuctionality","chromium","Tue Nov 12 18:42:23 IST 2024","passed","Tue Nov 12 18:42:38 IST 2024","","schedule.spec.js","",""
